CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
ZY070000140228,7,805
ZY070000140228,7,2164
ZY070000140228,7,805
ZY070000140228,7,494
ZY070000140228,7,1382
ZY070000140228,7,1597
ZY070000140228,7,1754
ZY070000140228,7,2164
ZY070000140228,7,2671
ZY070000140228,7,150
ZY070000140228,7,286
ZY070000140228,7,2671
ZY070000140228,7,105
ZY070000140228,7,1597
ZY070000140228,7,1838
ZY070000140228,7,1576
ZY070000140228,7,1597
ZY070000140228,7,1576
ZY070000140228,7,1597
ZY070000140228,7,837
ZY070000140228,7,1597
ZY070000140228,7,1488
ZY070000140228,8,378
ZY070000140228,8,805
ZY070000140228,8,2164
ZY070000140228,8,494
ZY070000140228,8,1382
ZY070000140228,8,1597
ZY070000140228,8,1754
ZY070000140228,8,2671
ZY070000140228,8,150
ZY070000140228,8,286
ZY070000140228,8,2671
ZY070000140228,8,105
ZY070000140228,8,1597
ZY070000140228,8,1838
ZY070000140228,8,1576
ZY070000140228,8,1597
ZY070000140228,8,1576
ZY070000140228,8,1597
ZY070000140228,8,837
ZY070000140228,8,1597
ZY070000140228,8,1488
ZY070000140228,9,378
ZY070000140228,9,805
ZY070000140228,9,2164
ZY070000140228,9,494
ZY070000140228,9,1382
ZY070000140228,9,1597
ZY070000140228,9,1754
ZY070000140228,9,2671
ZY070000140228,9,150
ZY070000140228,9,286
ZY070000140228,9,2671
ZY070000140228,9,105
ZY070000140228,9,1597
ZY070000140228,9,1838
ZY070000140228,9,1576
ZY070000140228,10,378
ZY070000140228,10,494
ZY070000140228,10,1382
ZY070000140228,10,1597
ZY070000140228,10,1754
ZY070000140228,10,2671
ZY070000140228,10,150
ZY070000140228,10,286
ZY070000140228,10,2671
ZY070000140228,10,105
ZY070000140228,11,378
ZY070000140228,11,494
ZY070000140228,11,1382
ZY070000140228,11,1597
ZY070000140228,11,1754
ZY070000140228,11,1728
ZY070000140228,11,1728
ZY070000140228,11,2652
ZY070000140228,11,2169
ZY070000140228,11,2652
ZY070000140228,11,2671
ZY070000140228,11,150
ZY070000140228,11,286
ZY070000140228,11,2671
ZY070000140228,11,105
ZY070000140228,12,378
ZY070000140228,12,494
ZY070000140228,12,1382
ZY070000140228,12,1597
ZY070000140228,12,1754
ZY070000140228,12,1597
ZY070000140228,12,1838
ZY070000140228,12,1576
ZY070000140228,12,1597
ZY070000140228,12,1576
ZY070000140228,12,1597
ZY070000140228,12,363
ZY070000140228,12,928
ZY070000140228,12,2652
ZY070000140228,12,2169
ZY070000140228,12,805
ZY070000140228,12,2164
ZY070000140228,12,2671
ZY070000140228,12,150
ZY070000140228,12,286
ZY070000140228,12,2671
ZY070000140228,12,105
ZY070000140228,13,378
ZY070000140228,13,494
ZY070000140228,13,1382
ZY070000140228,13,1597
ZY070000140228,13,1754
ZY070000140228,13,2652
ZY070000140228,13,2169
ZY070000140228,13,1652
ZY070000140228,13,2671
ZY070000140228,13,150
ZY070000140228,13,286
ZY070000140228,13,2671
ZY070000140228,13,105
ZY160000246543,1,378
ZY160000246543,1,1382
ZY160000246543,1,1597
ZY160000246543,1,286
ZY160000246543,1,1597
ZY160000246543,1,1388
ZY160000246543,1,1055
ZY160000246543,1,2533
ZY160000246543,1,1775
ZY160000246543,1,2001
ZY160000246543,1,2317
ZY160000246543,1,335
ZY160000246543,1,2035
ZY160000246543,1,1171
ZY160000246543,1,102
ZY160000246543,1,1562
ZY160000246543,1,2593
ZY160000246543,1,802
ZY160000246543,1,1677
ZY160000246543,1,947
ZY160000246543,1,494
ZY160000246543,2,378
ZY160000246543,2,1382
ZY160000246543,2,1597
ZY160000246543,2,286
ZY160000246543,2,1597
ZY160000246543,2,1388
ZY160000246543,2,494
ZY160000246543,3,378
ZY160000246543,3,1382
ZY160000246543,3,1597
ZY160000246543,3,286
ZY160000246543,3,1597
ZY160000246543,3,1388
ZY160000246543,3,494
ZY160000246543,4,378
ZY160000246543,4,1382
ZY160000246543,4,1597
ZY160000246543,4,286
ZY160000246543,4,1597
ZY160000246543,4,1388
ZY160000246543,4,102
ZY160000246543,4,494
ZY160000246543,5,378
ZY160000246543,5,1382
ZY160000246543,5,1597
ZY160000246543,5,286
ZY160000246543,5,1597
ZY160000246543,5,1388
ZY160000246543,5,102
ZY160000246543,5,494
ZY160000246543,6,378
ZY160000246543,6,1382
ZY160000246543,6,1597
ZY160000246543,6,1388
ZY160000246543,6,286
ZY160000246543,6,494
ZY160000246543,7,378
ZY160000246543,7,1382
ZY160000246543,7,1597
ZY160000246543,7,1388
ZY160000246543,7,286
ZY160000246543,7,1597
ZY160000246543,7,2676
ZY160000246543,7,494
ZY160000246543,8,378
ZY160000246543,8,286
ZY160000246543,8,494
ZY160000246543,9,378
ZY160000246543,9,286
ZY160000246543,9,494
ZY160000246543,10,378
ZY160000246543,10,286
ZY160000246543,10,1728
ZY160000246543,10,494
ZY160000246543,11,1171
ZY160000246543,11,378
ZY160000246543,11,286
ZY160000246543,11,1055
ZY160000246543,11,1414
ZY160000246543,11,494
ZY080000266056,1,1055
ZY080000266056,1,2533
ZY080000266056,1,1597
ZY080000266056,1,1388
ZY080000266056,1,1597
